"year","Ts","dOsea","dTsVscales"
-3130000,2.889416,3.38,1.2639411869648
-3125000,3.031784,3.34,1.54218006660324
-3120000,3.317864,3.26,2.10128449096099
-3115000,3.461576,3.22,2.3821500356803
-3110000,3.786566,3.13,3.01729875936608
-3105000,4.040904,3.06,3.51436776482715
-3100000,3.968096,3.08,3.37207443803521
-3095000,3.605736,3.18,2.66389113542658
-3090000,3.605736,3.18,2.66389113542658
-3085000,4.480104,2.94,4.37272438947035
-3080000,3.931734,3.09,3.30100985792301
-3075000,3.8954,3.1,3.23
-3070000,3.931734,3.09,3.30100985792301
-3065000,4.07735,3.05,3.5855965115069
-3060000,4.44335,2.95,4.30089369870956
-3055000,3.750344,3.14,2.94650779019981
-3050000,3.067446,3.33,1.61187659198581
-3045000,3.138854,3.31,1.75143380931851
-3040000,3.425606,3.23,2.3118515662167
-3035000,3.931734,3.09,3.30100985792301
-3030000,3.786566,3.13,3.01729875936608
-3025000,3.103136,3.32,1.68162783955757
-3020000,2.500214,3.49,0.503298848566837
-3015000,2.394656,3.52,0.297000104067555
-3010000,2.606024,3.46,0.710090092768791
-3005000,2.676704,3.44,0.848224533182682
-3e+06,2.960544,3.36,1.40295118240565
-2997500,3.461576,3.22,2.3821500356803
-2995000,3.5336,3.2,2.52291114117507
-2992500,3.497574,3.21,2.4525032273331
-2990000,3.605736,3.18,2.66389113542658
-2987500,3.71415,3.15,2.87577154322273
-2985000,4.004486,3.07,3.44319374033659
-2982500,3.317864,3.26,2.10128449096099
-2980000,2.64135,3.45,0.779129951881145
-2977500,2.712086,3.43,0.917373836673405
-2975000,2.535456,3.48,0.572174541111639
-2972500,3.067446,3.33,1.61187659198581
-2970000,3.1746,3.3,1.82129450126863
-2967500,2.99615,3.35,1.47253826340985
-2965000,3.677984,3.16,2.80509001843482
-2962500,3.605736,3.18,2.66389113542658
-2960000,3.968096,3.08,3.37207443803521
-2957500,3.425606,3.23,2.3118515662167
-2955000,3.677984,3.16,2.80509001843482
-2952500,4.553696,2.92,4.51654993755947
-2950000,4.516886,2.93,4.44460980242031
-2947500,4.040904,3.06,3.51436776482715
-2945000,4.44335,2.95,4.30089369870956
-2942500,4.44335,2.95,4.30089369870956
-2940000,3.931734,3.09,3.30100985792301
-2937500,3.605736,3.18,2.66389113542658
-2935000,3.138854,3.31,1.75143380931851
-2932500,2.429814,3.51,0.365711630044801
-2930000,2.712086,3.43,0.917373836673405
-2927500,3.067446,3.33,1.61187659198581
-2925000,2.465,3.5,0.434477878211226
-2922500,2.465,3.5,0.434477878211226
-2920000,2.429814,3.51,0.365711630044801
-2917500,2.782934,3.41,1.05583661022241
-2915000,2.500214,3.49,0.503298848566837
-2912500,3.1746,3.3,1.82129450126863
-2910000,3.282006,3.27,2.03120491025412
-2907500,3.246176,3.28,1.96118005173644
-2905000,3.103136,3.32,1.68162783955757
-2902500,3.497574,3.21,2.4525032273331
-2900000,3.461576,3.22,2.3821500356803
-2897500,3.750344,3.14,2.94650779019981
-2895000,3.210374,3.29,1.89120991540795
-2892500,3.031784,3.34,1.54218006660324
-2890000,2.500214,3.49,0.503298848566837
-2887500,2.606024,3.46,0.710090092768791
-2885000,2.465,3.5,0.434477878211226
-2882500,2.64135,3.45,0.779129951881145
-2880000,2.535456,3.48,0.572174541111639
-2877500,2.570726,3.47,0.641104955845623
-2875000,3.425606,3.23,2.3118515662167
-2872500,3.425606,3.23,2.3118515662167
-2870000,3.1746,3.3,1.82129450126863
-2867500,3.138854,3.31,1.75143380931851
-2865000,2.924966,3.37,1.33341882359063
-2862500,3.35375,3.25,2.17141879385704
-2860000,3.569654,3.19,2.59337377720623
-2857500,3.067446,3.33,1.61187659198581
-2855000,2.676704,3.44,0.848224533182682
-2852500,2.747496,3.42,0.986577862353313
-2850000,2.8184,3.4,1.12515008028069
-2847500,2.465,3.5,0.434477878211226
-2845000,2.889416,3.38,1.2639411869648
-2842500,2.747496,3.42,0.986577862353313
-2840000,3.031784,3.34,1.54218006660324
-2837500,3.282006,3.27,2.03120491025412
-2835000,3.641846,3.17,2.73446321583611
-2832500,3.859094,3.11,3.15904486426618
-2830000,3.677984,3.16,2.80509001843482
-2827500,3.822816,3.12,3.08814445072153
-2825000,3.71415,3.15,2.87577154322273
-2822500,3.317864,3.26,2.10128449096099
-2820000,2.889416,3.38,1.2639411869648
-2817500,2.64135,3.45,0.779129951881145
-2815000,2.009766,3.63,-0.455215017195928
-2812500,1.905384,3.66,-0.659215429749443
-2810000,1.94015,3.65,-0.591270014420792
-2807500,1.662806,3.73,-1.13330111575286
-2805000,1.490376,3.78,-1.47029208293688
-2802500,1.628264,3.74,-1.20080875356803
-2800000,2.465,3.5,0.434477878211226
-2797500,2.8184,3.4,1.12515008028069
-2795000,2.782934,3.41,1.05583661022241
-2792500,3.317864,3.26,2.10128449096099
-2790000,3.497574,3.21,2.4525032273331
-2787500,3.389664,3.24,2.24160781894228
-2785000,3.569654,3.19,2.59337377720623
-2782500,3.677984,3.16,2.80509001843482
-2780000,3.605736,3.18,2.66389113542658
