"","years.BP.2000","permille"
"859","21.450.000",-41.87
"860","21.500.000",-41.87
"861","21.500.000",-42.03
"862","21.550.000",-42.03
"863","21.550.000",-41.59
"864","21.600.000",-41.59
"865","21.600.000",-41.56
"866","21.650.000",-41.56
"867","21.650.000",-42.14
"868","21.700.000",-42.14
"869","21.700.000",-42.34
"870","21.750.000",-42.34
"871","21.750.000",-42.9
"872","21.800.000",-42.9
"873","21.800.000",-42.4
"874","21.850.000",-42.4
"875","21.850.000",-42.31
"876","21.900.000",-42.31
"877","21.900.000",-43.01
"878","21.950.000",-43.01
"879","21.950.000",-42.24
"880","22.000.000",-42.24
"881","22.000.000",-42.38
"882","22.050.000",-42.38
"883","22.050.000",-43.48
"884","22.100.000",-43.48
"885","22.100.000",-41.22
"886","22.150.000",-41.22
"887","22.150.000",-41.2
"888","22.200.000",-41.2
"889","22.200.000",-42.49
"890","22.250.000",-42.49
"891","22.250.000",-41.87
"892","22.300.000",-41.87
"893","22.300.000",-41.18
"894","22.350.000",-41.18
"895","22.350.000",-42.27
"896","22.400.000",-42.27
"897","22.400.000",-42.11
"898","22.450.000",-42.11
"899","22.450.000",-42.76
"900","22.500.000",-42.76
"901","22.500.000",-42.47
"902","22.550.000",-42.47
"903","22.550.000",-41.76
"904","22.600.000",-41.76
"905","22.600.000",-41.07
"906","22.650.000",-41.07
"907","22.650.000",-39.76
"908","22.700.000",-39.76
"909","22.700.000",-41.92
"910","22.750.000",-41.92
"911","22.750.000",-43.46
"912","22.800.000",-43.46
"913","22.800.000",-42
"914","22.850.000",-42
"915","22.850.000",-43.68
"916","22.900.000",-43.68
"917","22.900.000",-43.61
"918","22.950.000",-43.61
"919","22.950.000",-43.77
"920","23.000.000",-43.77
"921","23.000.000",-43.67
"922","23.050.000",-43.67
"923","23.050.000",-44.07
"924","23.100.000",-44.07
"925","23.100.000",-43.12
"926","23.150.000",-43.12
"927","23.150.000",-43.72
"928","23.200.000",-43.72
"929","23.200.000",-44.19
"930","23.250.000",-44.19
"931","23.250.000",-43.53
"932","23.300.000",-43.53
"933","23.300.000",-43.57
"934","23.350.000",-43.57
"935","23.350.000",-42.65
"936","23.400.000",-42.65
"937","23.400.000",-43.14
"938","23.450.000",-43.14
"939","23.450.000",-43.74
"940","23.500.000",-43.74
"941","23.500.000",-43.55
"942","23.550.000",-43.55
"943","23.550.000",-43.82
"944","23.600.000",-43.82
"945","23.600.000",-44.32
"946","23.650.000",-44.32
"947","23.650.000",-43.8
"948","23.700.000",-43.8
"949","23.700.000",-42.62
"950","23.750.000",-42.62
"951","23.750.000",-43.54
"952","23.800.000",-43.54
"953","23.800.000",-43.41
"954","23.850.000",-43.41
"955","23.850.000",-43.5
"956","23.900.000",-43.5
"957","23.900.000",-43.2
"958","23.950.000",-43.2
"959","23.950.000",-42.7
"960","24.000.000",-42.7
"961","24.000.000",-43.6
"962","24.050.000",-43.6
"963","24.050.000",-44.23
"964","24.100.000",-44.23
"965","24.100.000",-43.04
"966","24.150.000",-43.04
"967","24.150.000",-43.84
"968","24.200.000",-43.84
"969","24.200.000",-44.06
"970","24.250.000",-44.06
"971","24.250.000",-43.89
"972","24.300.000",-43.89
"973","24.300.000",-44.49
"974","24.350.000",-44.49
"975","24.350.000",-42.67
"976","24.400.000",-42.67
"977","24.400.000",-42.74
"978","24.450.000",-42.74
"979","24.450.000",-43.43
"980","24.500.000",-43.43
"981","24.500.000",-44.21
"982","24.550.000",-44.21
"983","24.550.000",-43.39
"984","24.600.000",-43.39
"985","24.600.000",-42.79
"986","24.650.000",-42.79
"987","24.650.000",-44
"988","24.700.000",-44
"989","24.700.000",-43.45
"990","24.750.000",-43.45
"991","24.750.000",-42.93
"992","24.800.000",-42.93
"993","24.800.000",-44.13
"994","24.850.000",-44.13
"995","24.850.000",-44.86
"996","24.900.000",-44.86
"997","24.900.000",-42.36
"998","24.950.000",-42.36
"999","24.950.000",-43.39
"1000","25.000.000",-43.39
"1001","25.000.000",-43.44
